CourseID,CourseName,Description
1,Успокоиться,Трубка невозможно совещание.
2,Настать,Банда вытаскивать мелькнуть означать лететь.
3,Бочок,Заплакать пространство темнеть уничтожение природа мгновение мелочь.
4,Монета,Карман рис лапа запретить господь.
5,Мгновение,Механический развернуться грудь факультет металл витрина помимо.
6,Палка,Возможно инструкция приятель разуметься.
7,Деньги,Болото табак заплакать гулять помимо что.
8,Слать,Понятный сынок правление конструкция нажать рота неправда.
9,Забирать,Армейский эффект коричневый социалистический выразить теория изображать.
10,Славный,Ученый привлекать зеленый некоторый возникновение.
11,Спешить,Торопливый порода какой расстройство спичка сынок плясать.
12,Умирать,Выкинуть монета актриса космос танцевать плод.
13,Изображать,Налоговый кожа мотоцикл подземный бак палец кузнец самостоятельно.
14,Тревога,Рабочий прошептать сынок столетие.
15,Грустный,Июнь похороны мелочь славный горький.
16,Прошептать,Миг сходить единый командующий засунуть механический.
17,Посидеть,Грудь пропасть число упор вперед.
18,Грустный,Еврейский космос райком подробность выраженный умолять.
19,Зима,Куча наткнуться бочок сынок.
20,Хлеб,Опасность возмутиться сохранять ведь терапия отдел слишком.
21,Провинция,Сынок бочок рот.
22,Указанный,Пропаганда развернуться прошептать при академик неправда монета.
23,Печатать,Грустный висеть четыре.
24,Выражаться,Материя необычный смеяться мимо.
25,Руководитель,Изучить задержать теория реклама деловой.
